Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	4.643558
1	CPI Rate	1.259985
1	Average CPU Frequency	2753088560.405909
1	Total Thread Count	8
0	Effective Physical Core Utilization	15.4% (3.084 out of 20)
1	Effective Logical Core Utilization	7.7% (3.065 out of 40)
0	Memory Bound	59.4
1	Cache Bound	25.9
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	116.000000	11.200000	2.778042	0.0
1	DRAM Single-Package, GB/sec	58.000000	10.400000	2.485164	0.0
0	Collection and Platform Info	
1	Application Command Line	/home/users/dhamorim/pagerank-openmp/pagerank "-f" "/home/users/dhamorim/pagerank-openmp/data/web-Google/web-Google.txt" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype1
1	Result Size	9718483
1	Collection start time	01:55:13 06/10/2025 UTC
1	Collection stop time	01:55:17 06/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2297338062
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	58000000000.000000
