Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	8.897503
1	CPI Rate	0.878425
1	Average CPU Frequency	2991270854.775743
1	Total Thread Count	1
0	Effective Physical Core Utilization	4.9% (0.979 out of 20)
1	Effective Logical Core Utilization	2.5% (0.983 out of 40)
0	Memory Bound	43.8
1	Cache Bound	18.7
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	116.000000	2.600000	0.178702	0.0
1	DRAM Single-Package, GB/sec	58.000000	2.500000	0.708064	0.0
0	Collection and Platform Info	
1	Application Command Line	/home/users/dhamorim/pagerank-openmp/pagerank "-f" "/home/users/dhamorim/pagerank-openmp/data/web-Google/web-Google.txt" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype1
1	Result Size	9931905
1	Collection start time	01:53:51 06/10/2025 UTC
1	Collection stop time	01:54:00 06/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2297338073
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	58000000000.000000
