Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	5.926710
1	CPI Rate	1.277673
1	Average CPU Frequency	2979139915.472393
1	Total Thread Count	4
0	Effective Physical Core Utilization	11.1% (2.218 out of 20)
1	Effective Logical Core Utilization	5.5% (2.203 out of 40)
0	Memory Bound	60.2
1	Cache Bound	25.0
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	120.000000	6.700000	2.389184	0.0
1	DRAM Single-Package, GB/sec	60.000000	6.700000	1.650157	0.0
0	Collection and Platform Info	
1	Application Command Line	/home/users/dhamorim/pagerank-openmp/pagerank "-f" "/home/users/dhamorim/pagerank-openmp/data/web-Google/web-Google.txt" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype1
1	Result Size	10182526
1	Collection start time	01:54:47 06/10/2025 UTC
1	Collection stop time	01:54:53 06/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2297337936
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	60000000000.000000
